,component_name,entropy,kurt,ch_name
0,ICA099,0.527086456,14.0127549,
1,ICA098,0.213587755,160.6440413,
2,ICA097,0.82646653,12.79974741,
3,ICA096,0.681804395,6.185068808,
4,ICA095,0.729454331,4.401861851,
5,ICA094,0.549280914,4.698714162,
6,ICA093,0.507098276,10.21723131,
7,ICA092,0.32178025,138.7739716,
8,ICA091,0.648615146,12.40561958,
9,ICA090,0.699525277,39.28592373,
10,ICA089,1.396896143,4.198711167,
11,ICA088,0.669248589,107.3614708,
12,ICA087,1.22352533,12.20924944,
13,ICA086,0.574834934,108.8901945,
14,ICA085,0.775486267,148.1305314,
15,ICA084,1.054285289,27.83284981,
16,ICA083,1.229587678,6.785454136,
17,ICA082,1.060608677,41.45459202,
18,ICA081,1.56901681,15.31627763,
19,ICA080,1.06239429,20.9503893,
20,ICA079,0.782929751,55.78795807,
21,ICA078,1.407286538,55.57772978,
22,ICA077,0.912399364,262.1870563,
23,ICA076,2.03993069,-0.842979386,
24,ICA075,0.852813174,132.5282736,
25,ICA074,1.049717638,95.90953317,
26,ICA073,1.241317669,60.80491886,
27,ICA072,1.958172116,1.458026115,
28,ICA071,1.171754847,72.67734772,
29,ICA070,1.57068454,30.98011486,
30,ICA069,1.796909577,14.31108103,
31,ICA068,1.568879008,16.7638283,
32,ICA067,1.223682056,150.4213707,
33,ICA066,1.631080481,17.67968163,
34,ICA065,1.362809941,19.06792383,
35,ICA064,1.539695746,27.03841234,
36,ICA063,0.940564435,89.5421261,
37,ICA062,1.858638351,2.652386721,
38,ICA061,1.109984833,148.5266412,
39,ICA060,1.264071896,74.56365769,
40,ICA059,0.997563866,186.094939,
41,ICA058,2.111727099,-0.690357992,
42,ICA057,1.837619515,1.887453695,
43,ICA056,1.781213114,8.028858965,
44,ICA055,2.086516102,-0.712728862,
45,ICA054,1.52674706,61.74237338,
46,ICA053,1.633100629,42.44297849,
47,ICA052,1.684131119,28.43756066,
48,ICA051,1.629862623,21.52131687,
49,ICA050,1.535861307,15.55805765,
50,ICA049,2.049375936,0.983784001,
51,ICA048,1.814250019,12.12666009,
52,ICA047,1.497501176,46.235506,
53,ICA046,2.162694104,-0.905685826,
54,ICA045,2.024349051,-0.092558006,
55,ICA044,1.396708923,56.34475301,
56,ICA043,2.033279,0.363210515,
57,ICA042,2.008345096,0.536678992,
58,ICA041,2.081562336,-0.300464997,
59,ICA040,1.916089458,3.055396617,
60,ICA039,2.036421917,1.234545005,
61,ICA038,1.714169124,21.77165422,
62,ICA037,1.918156744,4.31752718,
63,ICA036,1.930337514,3.03644871,
64,ICA035,1.846780929,10.07899467,
65,ICA034,1.553197802,67.21038565,
66,ICA033,1.999039204,5.136042055,
67,ICA032,2.089352691,-0.346610189,
68,ICA031,1.812994242,7.918544856,
69,ICA030,1.945713958,0.990851086,
70,ICA029,1.753038845,13.90915171,
71,ICA028,1.51958579,26.72509703,
72,ICA027,1.813642571,9.161283507,
73,ICA026,2.061273555,0.524091166,
74,ICA025,1.822351417,2.613727086,
75,ICA024,1.632962858,19.14372622,
76,ICA023,1.891817946,7.550316841,
77,ICA022,1.947166612,-0.773843644,
78,ICA021,2.064498071,0.492792009,
79,ICA020,1.82663327,14.71346289,
80,ICA019,1.74933345,16.37631094,
81,ICA018,1.8033564,10.39241601,
82,ICA017,1.738893172,8.332296145,
83,ICA016,1.57881704,20.90261512,
84,ICA015,1.913884492,5.392118778,
85,ICA014,1.842853408,11.42655075,
86,ICA013,1.953755735,3.124537204,
87,ICA012,2.016314536,0.090442674,
88,ICA011,2.073208559,-0.551878532,
89,ICA010,1.808550789,7.513169647,
90,ICA009,1.891717114,1.256439232,
91,ICA008,1.971994247,3.368897268,
92,ICA007,1.71737421,21.54718707,
93,ICA006,2.021905212,2.914109093,
94,ICA005,2.009407121,2.576816364,
95,ICA004,1.815810733,21.31803967,
96,ICA003,1.969228811,3.801826395,
97,ICA002,1.808893765,15.78376813,
98,ICA001,1.928047864,5.570303926,
99,ICA000,2.003413043,4.721298745,
